s_no,route_long_name,stop_id
1186,929UP,796
1187,929UP,797
1188,929UP,798
1189,929UP,799
1190,929UP,800
1191,929UP,801
1192,929UP,802
1193,929UP,803
1194,929UP,804
1195,929UP,1483
1196,929UP,1484
1197,929UP,1485
1198,929UP,1486
1199,929UP,1487
1200,929UP,1488
1201,929UP,1489
1202,929UP,1490
1203,929UP,1491
1204,929UP,1492
1205,929UP,1493
1206,929UP,1494
1207,929UP,1495
1208,929UP,1496
1209,929UP,1497
1210,929UP,1498
1211,929UP,1499
1212,929UP,1500
1213,929UP,1501
1214,929UP,1898
1215,929UP,1899
1216,929UP,1901
1217,929UP,3167
1218,929UP,3168
1219,929UP,3169
1220,929UP,968
1221,929UP,969
1222,929UP,1238
1223,402CLUP,951
1224,402CLUP,952
1225,402CLUP,953
1226,402CLUP,954
1227,402CLUP,955
1228,402CLUP,293
1229,402CLUP,195
1230,402CLUP,196
1231,402CLUP,197
1232,402CLUP,294
1233,402CLUP,295
1234,402CLUP,296
1235,402CLUP,297
1236,402CLUP,298
1237,402CLUP,299
1238,402CLUP,108
1239,402CLUP,109
1240,402CLUP,110
1241,402CLUP,957
1242,402CLUP,958
1243,402CLUP,959
1244,402CLUP,2447
1245,402CLUP,2448
1246,402CLUP,2449
1247,402CLUP,2586
1248,402CLUP,2587
1249,402CLUP,2588
1250,402CLUP,3330
1251,402CLUP,1784
1252,402CLUP,1785
1253,402CLUP,1786
1254,402CLUP,1787
1255,402CLUP,1788
1256,402CLUP,1789
1257,402CLUP,1790
1258,402CLUP,663
1259,402CLUP,1791
1260,402CLUP,1792
1261,402CLUP,1793
1262,402CLUP,1794
1263,402CLUP,1795
1264,402CLUP,1796
1265,402CLUP,1797
1266,402CLUP,1798
1267,402CLUP,1799
1268,402CLUP,1800
